,iterations,Variable,Time,model
4,4,10%,0.004591703414916992,labelspreadknn
5,5,10%,0.004576921463012695,labelspreadknn
6,6,10%,0.00474238395690918,labelspreadknn
7,7,10%,0.004581212997436523,labelspreadknn
8,8,10%,0.004578351974487305,labelspreadknn
9,9,10%,0.004551410675048828,labelspreadknn
10,0,50%,0.006498336791992188,labelspreadknn
11,1,50%,0.005016803741455078,labelspreadknn
12,2,50%,0.005022764205932617,labelspreadknn
13,3,50%,0.004971504211425781,labelspreadknn
14,4,50%,0.004708051681518555,labelspreadknn
15,5,50%,0.004592657089233398,labelspreadknn
16,6,50%,0.004562854766845703,labelspreadknn
17,7,50%,0.004545688629150391,labelspreadknn
18,8,50%,0.004558563232421875,labelspreadknn
19,9,50%,0.004558563232421875,labelspreadknn
0,0,10%,0.00846099853515625,labelspreadrbf
1,1,10%,0.003209114074707031,labelspreadrbf
2,2,10%,0.0029888153076171875,labelspreadrbf
3,3,10%,0.003022432327270508,labelspreadrbf
4,4,10%,0.003041982650756836,labelspreadrbf
5,5,10%,0.002945899963378907,labelspreadrbf
6,6,10%,0.002981185913085937,labelspreadrbf
7,7,10%,0.0029799938201904297,labelspreadrbf
8,8,10%,0.003012180328369141,labelspreadrbf
9,9,10%,0.002874374389648437,labelspreadrbf
10,0,50%,0.002935886383056641,labelspreadrbf
11,1,50%,0.003011941909790039,labelspreadrbf
12,2,50%,0.002947330474853516,labelspreadrbf
13,3,50%,0.002980947494506836,labelspreadrbf
14,4,50%,0.003069162368774414,labelspreadrbf
15,5,50%,0.002910375595092773,labelspreadrbf
16,6,50%,0.002893686294555664,labelspreadrbf
17,7,50%,0.0030078887939453125,labelspreadrbf
18,8,50%,0.002952814102172852,labelspreadrbf
19,9,50%,0.002926349639892578,labelspreadrbf
