,iterations,Variable,Time,model
13,3,50%,0.2502551078796387,labelpropknn
14,4,50%,0.2355654239654541,labelpropknn
15,5,50%,0.22105741500854487,labelpropknn
16,6,50%,0.22843265533447266,labelpropknn
17,7,50%,0.2267148494720459,labelpropknn
18,8,50%,0.2254772186279297,labelpropknn
19,9,50%,0.2194888591766357,labelpropknn
0,0,10%,0.24364447593688965,labelproprbf
1,1,10%,0.2396247386932373,labelproprbf
2,2,10%,0.24713730812072754,labelproprbf
3,3,10%,0.2336242198944092,labelproprbf
4,4,10%,0.25678157806396484,labelproprbf
5,5,10%,0.2406277656555176,labelproprbf
6,6,10%,0.2485604286193848,labelproprbf
7,7,10%,0.2445070743560791,labelproprbf
8,8,10%,0.24763751029968264,labelproprbf
9,9,10%,0.24097394943237305,labelproprbf
10,0,50%,0.21703386306762693,labelproprbf
11,1,50%,0.23075199127197266,labelproprbf
12,2,50%,0.2150840759277344,labelproprbf
13,3,50%,0.21311402320861814,labelproprbf
14,4,50%,0.21428704261779785,labelproprbf
15,5,50%,0.22504472732543945,labelproprbf
16,6,50%,0.22014570236206046,labelproprbf
17,7,50%,0.2118546962738037,labelproprbf
18,8,50%,0.21306180953979487,labelproprbf
19,9,50%,0.22504663467407227,labelproprbf
0,0,10%,0.03902721405029297,labelspreadknn
1,1,10%,0.05133223533630371,labelspreadknn
2,2,10%,0.04109621047973633,labelspreadknn
3,3,10%,0.04447555541992188,labelspreadknn
4,4,10%,0.03830218315124512,labelspreadknn
5,5,10%,0.05145406723022461,labelspreadknn
6,6,10%,0.04192829132080078,labelspreadknn
7,7,10%,0.04112076759338379,labelspreadknn
8,8,10%,0.05296468734741211,labelspreadknn
9,9,10%,0.05197286605834961,labelspreadknn
10,0,50%,0.03828740119934082,labelspreadknn
11,1,50%,0.04124331474304199,labelspreadknn
12,2,50%,0.04082989692687988,labelspreadknn
13,3,50%,0.041959285736083984,labelspreadknn
14,4,50%,0.037882328033447266,labelspreadknn
15,5,50%,0.04128265380859375,labelspreadknn
16,6,50%,0.03980088233947754,labelspreadknn
17,7,50%,0.04038381576538086,labelspreadknn
18,8,50%,0.041106462478637695,labelspreadknn
19,9,50%,0.04088997840881349,labelspreadknn
0,0,10%,0.2736785411834717,labelspreadrbf
1,1,10%,0.24135088920593264,labelspreadrbf
2,2,10%,0.2490594387054444,labelspreadrbf
3,3,10%,0.2435753345489502,labelspreadrbf
4,4,10%,0.2819454669952393,labelspreadrbf
5,5,10%,0.26232361793518066,labelspreadrbf
6,6,10%,0.25197529792785645,labelspreadrbf
7,7,10%,0.2770957946777344,labelspreadrbf
8,8,10%,0.2857975959777832,labelspreadrbf
9,9,10%,0.2830574512481689,labelspreadrbf
10,0,50%,0.2733316421508789,labelspreadrbf
11,1,50%,0.23627495765686035,labelspreadrbf
12,2,50%,0.2454943656921387,labelspreadrbf
13,3,50%,0.2369351387023925,labelspreadrbf
14,4,50%,0.2864663600921631,labelspreadrbf
15,5,50%,0.2537717819213867,labelspreadrbf
16,6,50%,0.2809057235717773,labelspreadrbf
17,7,50%,0.2709183692932129,labelspreadrbf
18,8,50%,0.2787454128265381,labelspreadrbf
19,9,50%,0.2723116874694824,labelspreadrbf
