,iterations,Variable,Time,model
3,3,10%,0.5790400505065918,labelpropknn
4,4,10%,0.5739021301269531,labelpropknn
5,5,10%,0.5713779926300049,labelpropknn
6,6,10%,0.5624127388000488,labelpropknn
7,7,10%,0.564974308013916,labelpropknn
8,8,10%,0.56449294090271,labelpropknn
9,9,10%,0.5639538764953613,labelpropknn
10,0,50%,0.5862205028533936,labelpropknn
11,1,50%,0.5765841007232666,labelpropknn
12,2,50%,0.5949621200561523,labelpropknn
13,3,50%,0.5835452079772949,labelpropknn
14,4,50%,0.59214186668396,labelpropknn
15,5,50%,0.5094449520111084,labelpropknn
16,6,50%,0.5757484436035156,labelpropknn
17,7,50%,0.5821430683135986,labelpropknn
18,8,50%,0.5014777183532715,labelpropknn
19,9,50%,0.5724098682403564,labelpropknn
0,0,10%,0.11376667022705078,labelproprbf
1,1,10%,0.11238217353820801,labelproprbf
2,2,10%,0.13583660125732422,labelproprbf
3,3,10%,0.11096596717834473,labelproprbf
4,4,10%,0.11506986618041992,labelproprbf
5,5,10%,0.11318111419677734,labelproprbf
6,6,10%,0.11932778358459473,labelproprbf
7,7,10%,0.13306856155395508,labelproprbf
8,8,10%,0.12469840049743652,labelproprbf
9,9,10%,0.1110236644744873,labelproprbf
10,0,50%,0.1148219108581543,labelproprbf
11,1,50%,0.13311266899108887,labelproprbf
12,2,50%,0.11786293983459473,labelproprbf
13,3,50%,0.11364531517028807,labelproprbf
14,4,50%,0.12393999099731445,labelproprbf
15,5,50%,0.12612414360046387,labelproprbf
16,6,50%,0.13898992538452148,labelproprbf
17,7,50%,0.12273716926574707,labelproprbf
18,8,50%,0.11413121223449707,labelproprbf
19,9,50%,0.11416339874267578,labelproprbf
0,0,10%,0.5114598274230957,labelspreadknn
1,1,10%,0.5034797191619873,labelspreadknn
2,2,10%,0.5032696723937988,labelspreadknn
3,3,10%,0.5035655498504639,labelspreadknn
4,4,10%,0.5054507255554199,labelspreadknn
5,5,10%,0.5048103332519531,labelspreadknn
6,6,10%,0.5031275749206543,labelspreadknn
7,7,10%,0.4971444606781006,labelspreadknn
8,8,10%,0.5025832653045654,labelspreadknn
9,9,10%,0.5035636425018309,labelspreadknn
10,0,50%,0.5083739757537842,labelspreadknn
11,1,50%,0.5038344860076904,labelspreadknn
12,2,50%,0.5026161670684814,labelspreadknn
13,3,50%,0.5039610862731934,labelspreadknn
14,4,50%,0.5042324066162109,labelspreadknn
15,5,50%,0.5037827491760254,labelspreadknn
16,6,50%,0.5020570755004883,labelspreadknn
17,7,50%,0.4941864013671875,labelspreadknn
18,8,50%,0.5038509368896484,labelspreadknn
19,9,50%,0.4877734184265137,labelspreadknn
0,0,10%,0.04531359672546387,labelspreadrbf
1,1,10%,0.014594793319702147,labelspreadrbf
2,2,10%,0.012782573699951172,labelspreadrbf
3,3,10%,0.01529693603515625,labelspreadrbf
4,4,10%,0.01477169990539551,labelspreadrbf
5,5,10%,0.014811277389526369,labelspreadrbf
6,6,10%,0.01457977294921875,labelspreadrbf
7,7,10%,0.015018463134765625,labelspreadrbf
8,8,10%,0.014814376831054688,labelspreadrbf
9,9,10%,0.01277756690979004,labelspreadrbf
10,0,50%,0.018724679946899414,labelspreadrbf
11,1,50%,0.012532711029052734,labelspreadrbf
12,2,50%,0.012449264526367188,labelspreadrbf
13,3,50%,0.014969348907470703,labelspreadrbf
14,4,50%,0.014195442199707031,labelspreadrbf
15,5,50%,0.014188051223754885,labelspreadrbf
16,6,50%,0.01410508155822754,labelspreadrbf
17,7,50%,0.014636754989624025,labelspreadrbf
18,8,50%,0.014626502990722656,labelspreadrbf
19,9,50%,0.01303863525390625,labelspreadrbf
