,iterations,Variable,Time,model
7,7,10%,0.014053106307983398,labelspreadrbf
8,8,10%,0.014130592346191406,labelspreadrbf
9,9,10%,0.01413726806640625,labelspreadrbf
10,0,50%,0.013476848602294922,labelspreadrbf
11,1,50%,0.01340341567993164,labelspreadrbf
12,2,50%,0.013410568237304688,labelspreadrbf
13,3,50%,0.013579368591308594,labelspreadrbf
14,4,50%,0.013446331024169922,labelspreadrbf
15,5,50%,0.01361227035522461,labelspreadrbf
16,6,50%,0.013727426528930664,labelspreadrbf
17,7,50%,0.01364421844482422,labelspreadrbf
18,8,50%,0.01347970962524414,labelspreadrbf
19,9,50%,0.013710498809814451,labelspreadrbf
