,iterations,Variable,Time,model
4,4,10%,0.0032591819763183594,labelspreadknn
5,5,10%,0.003376960754394531,labelspreadknn
6,6,10%,0.003380298614501953,labelspreadknn
7,7,10%,0.003387928009033203,labelspreadknn
8,8,10%,0.003418684005737305,labelspreadknn
9,9,10%,0.0031168460845947266,labelspreadknn
10,0,50%,0.007652997970581055,labelspreadknn
11,1,50%,0.0036399364471435547,labelspreadknn
12,2,50%,0.003328561782836914,labelspreadknn
13,3,50%,0.003485918045043945,labelspreadknn
14,4,50%,0.0035288333892822266,labelspreadknn
15,5,50%,0.0033702850341796875,labelspreadknn
16,6,50%,0.0032379627227783203,labelspreadknn
17,7,50%,0.0031604766845703125,labelspreadknn
18,8,50%,0.0032134056091308594,labelspreadknn
19,9,50%,0.003371000289916992,labelspreadknn
0,0,10%,0.015230178833007812,labeldpreadrbf
1,1,10%,0.002935886383056641,labeldpreadrbf
2,2,10%,0.00269770622253418,labeldpreadrbf
3,3,10%,0.0027358531951904297,labeldpreadrbf
4,4,10%,0.002738237380981445,labeldpreadrbf
5,5,10%,0.002731800079345703,labeldpreadrbf
6,6,10%,0.002904653549194336,labeldpreadrbf
7,7,10%,0.002769947052001953,labeldpreadrbf
8,8,10%,0.002742290496826172,labeldpreadrbf
9,9,10%,0.002885103225708008,labeldpreadrbf
10,0,50%,0.002831220626831055,labeldpreadrbf
11,1,50%,0.003011465072631836,labeldpreadrbf
12,2,50%,0.002744436264038086,labeldpreadrbf
13,3,50%,0.002928733825683593,labeldpreadrbf
14,4,50%,0.002755880355834961,labeldpreadrbf
15,5,50%,0.0027191638946533203,labeldpreadrbf
16,6,50%,0.0027654170989990234,labeldpreadrbf
17,7,50%,0.002800941467285156,labeldpreadrbf
18,8,50%,0.002950429916381836,labeldpreadrbf
19,9,50%,0.0027768611907958984,labeldpreadrbf
