,ValueType,value,Iteration,Variable,Model,Dataset,DataType
8,accuracy,49.88612836438923,8,10%,LabelPropagation_rbf,musk,image
9,accuracy,53.31300813008129,9,10%,LabelPropagation_rbf,musk,image
20,accuracy,56.66901408450703,0,50%,LabelPropagation_rbf,musk,image
21,accuracy,50.86659992491553,1,50%,LabelPropagation_rbf,musk,image
22,accuracy,56.58212560386472,2,50%,LabelPropagation_rbf,musk,image
23,accuracy,47.54182494915774,3,50%,LabelPropagation_rbf,musk,image
24,accuracy,46.39067955949503,4,50%,LabelPropagation_rbf,musk,image
25,accuracy,57.264925373134325,5,50%,LabelPropagation_rbf,musk,image
26,accuracy,45.24676616915424,6,50%,LabelPropagation_rbf,musk,image
27,accuracy,53.0538776525949,7,50%,LabelPropagation_rbf,musk,image
28,accuracy,49.08351386941932,8,50%,LabelPropagation_rbf,musk,image
29,accuracy,46.46809895833333,9,50%,LabelPropagation_rbf,musk,image
0,accuracy,56.918820083032635,0,10%,LabelSpreading_knn,musk,image
1,accuracy,53.88758782201405,1,10%,LabelSpreading_knn,musk,image
2,accuracy,53.79554655870445,2,10%,LabelSpreading_knn,musk,image
3,accuracy,42.88613426941641,3,10%,LabelSpreading_knn,musk,image
4,accuracy,50.80049261083745,4,10%,LabelSpreading_knn,musk,image
5,accuracy,55.07338308457711,5,10%,LabelSpreading_knn,musk,image
6,accuracy,47.641093474426796,6,10%,LabelSpreading_knn,musk,image
7,accuracy,50.503893724232704,7,10%,LabelSpreading_knn,musk,image
8,accuracy,51.66666666666667,8,10%,LabelSpreading_knn,musk,image
9,accuracy,58.80028735632185,9,10%,LabelSpreading_knn,musk,image
20,accuracy,59.56639217704581,0,50%,LabelSpreading_knn,musk,image
21,accuracy,51.80311890838206,1,50%,LabelSpreading_knn,musk,image
22,accuracy,44.521604938271615,2,50%,LabelSpreading_knn,musk,image
23,accuracy,39.89248940036341,3,50%,LabelSpreading_knn,musk,image
24,accuracy,39.02122461444496,4,50%,LabelSpreading_knn,musk,image
25,accuracy,44.2635986317941,5,50%,LabelSpreading_knn,musk,image
26,accuracy,48.90101201771032,6,50%,LabelSpreading_knn,musk,image
27,accuracy,59.74264705882353,7,50%,LabelSpreading_knn,musk,image
28,accuracy,51.451612903225815,8,50%,LabelSpreading_knn,musk,image
29,accuracy,43.594288733177606,9,50%,LabelSpreading_knn,musk,image
0,accuracy,46.413540163540155,0,10%,LabelSpreading_rbf,musk,image
1,accuracy,45.188034188034194,1,10%,LabelSpreading_rbf,musk,image
2,accuracy,51.117537028553976,2,10%,LabelSpreading_rbf,musk,image
3,accuracy,41.244939271255056,3,10%,LabelSpreading_rbf,musk,image
4,accuracy,47.108277900960815,4,10%,LabelSpreading_rbf,musk,image
5,accuracy,49.143531244273404,5,10%,LabelSpreading_rbf,musk,image
6,accuracy,59.33908045977011,6,10%,LabelSpreading_rbf,musk,image
7,accuracy,54.908906882591076,7,10%,LabelSpreading_rbf,musk,image
8,accuracy,51.07905167084833,8,10%,LabelSpreading_rbf,musk,image
9,accuracy,45.1168430335097,9,10%,LabelSpreading_rbf,musk,image
20,accuracy,61.81270372276546,0,50%,LabelSpreading_rbf,musk,image
21,accuracy,53.255275347400925,1,50%,LabelSpreading_rbf,musk,image
22,accuracy,54.651639344262286,2,50%,LabelSpreading_rbf,musk,image
23,accuracy,43.867243867243864,3,50%,LabelSpreading_rbf,musk,image
24,accuracy,41.68811116829645,4,50%,LabelSpreading_rbf,musk,image
25,accuracy,54.93444866748111,5,50%,LabelSpreading_rbf,musk,image
26,accuracy,45.760233918128655,6,50%,LabelSpreading_rbf,musk,image
27,accuracy,57.50612745098039,7,50%,LabelSpreading_rbf,musk,image
28,accuracy,49.71641791044777,8,50%,LabelSpreading_rbf,musk,image
29,accuracy,45.7228061394728,9,50%,LabelSpreading_rbf,musk,image
0,accuracy,6.5685009122560185,0,10%,LabelPropagation_knn,digits,image
1,accuracy,8.528364347743022,1,10%,LabelPropagation_knn,digits,image
2,accuracy,18.86055736485768,2,10%,LabelPropagation_knn,digits,image
3,accuracy,10.94536544992706,3,10%,LabelPropagation_knn,digits,image
4,accuracy,8.596594751704421,4,10%,LabelPropagation_knn,digits,image
5,accuracy,10.010642776206307,5,10%,LabelPropagation_knn,digits,image
