,ValueType,value,Iteration,Variable,Model,Dataset,DataType
32,time,9.50316047668457,2,50%,Active_QBC,iris,numeric
33,time,9.445881128311155,3,50%,Active_QBC,iris,numeric
34,time,9.537447452545166,4,50%,Active_QBC,iris,numeric
35,time,9.618374347686768,5,50%,Active_QBC,iris,numeric
36,time,9.28414225578308,6,50%,Active_QBC,iris,numeric
37,time,10.066143274307253,7,50%,Active_QBC,iris,numeric
38,time,9.643496990203856,8,50%,Active_QBC,iris,numeric
39,time,9.348963260650637,9,50%,Active_QBC,iris,numeric
0,accuracy,0.16666666666666666,0,10%,LabelPropagation_knn,iris,numeric
1,accuracy,0.16666666666666666,1,10%,LabelPropagation_knn,iris,numeric
2,accuracy,0.16666666666666666,2,10%,LabelPropagation_knn,iris,numeric
3,accuracy,0.16666666666666666,3,10%,LabelPropagation_knn,iris,numeric
4,accuracy,0.16666666666666666,4,10%,LabelPropagation_knn,iris,numeric
5,accuracy,0.16666666666666666,5,10%,LabelPropagation_knn,iris,numeric
6,accuracy,0.16666666666666666,6,10%,LabelPropagation_knn,iris,numeric
7,accuracy,0.16666666666666666,7,10%,LabelPropagation_knn,iris,numeric
8,accuracy,0.16666666666666666,8,10%,LabelPropagation_knn,iris,numeric
9,accuracy,0.16666666666666666,9,10%,LabelPropagation_knn,iris,numeric
10,time,0.037576913833618164,0,10%,LabelPropagation_knn,iris,numeric
11,time,0.026885271072387692,1,10%,LabelPropagation_knn,iris,numeric
12,time,0.026546955108642575,2,10%,LabelPropagation_knn,iris,numeric
13,time,0.026156902313232425,3,10%,LabelPropagation_knn,iris,numeric
14,time,0.026534557342529297,4,10%,LabelPropagation_knn,iris,numeric
15,time,0.026836156845092773,5,10%,LabelPropagation_knn,iris,numeric
16,time,0.025851726531982425,6,10%,LabelPropagation_knn,iris,numeric
17,time,0.026526212692260742,7,10%,LabelPropagation_knn,iris,numeric
18,time,0.026111841201782227,8,10%,LabelPropagation_knn,iris,numeric
19,time,0.02584528923034668,9,10%,LabelPropagation_knn,iris,numeric
20,accuracy,0.16666666666666666,0,50%,LabelPropagation_knn,iris,numeric
21,accuracy,0.16666666666666666,1,50%,LabelPropagation_knn,iris,numeric
22,accuracy,0.16666666666666666,2,50%,LabelPropagation_knn,iris,numeric
23,accuracy,0.16666666666666666,3,50%,LabelPropagation_knn,iris,numeric
24,accuracy,0.16666666666666666,4,50%,LabelPropagation_knn,iris,numeric
25,accuracy,0.16666666666666666,5,50%,LabelPropagation_knn,iris,numeric
26,accuracy,0.16666666666666666,6,50%,LabelPropagation_knn,iris,numeric
27,accuracy,0.16666666666666666,7,50%,LabelPropagation_knn,iris,numeric
28,accuracy,0.16666666666666666,8,50%,LabelPropagation_knn,iris,numeric
29,accuracy,0.16666666666666666,9,50%,LabelPropagation_knn,iris,numeric
30,time,0.02616786956787109,0,50%,LabelPropagation_knn,iris,numeric
31,time,0.026062488555908203,1,50%,LabelPropagation_knn,iris,numeric
32,time,0.0258486270904541,2,50%,LabelPropagation_knn,iris,numeric
33,time,0.025731801986694336,3,50%,LabelPropagation_knn,iris,numeric
34,time,0.026176929473876957,4,50%,LabelPropagation_knn,iris,numeric
35,time,0.02572154998779297,5,50%,LabelPropagation_knn,iris,numeric
36,time,0.0251617431640625,6,50%,LabelPropagation_knn,iris,numeric
37,time,0.025398969650268555,7,50%,LabelPropagation_knn,iris,numeric
38,time,0.02579331398010254,8,50%,LabelPropagation_knn,iris,numeric
39,time,0.02511429786682129,9,50%,LabelPropagation_knn,iris,numeric
0,accuracy,0.16666666666666666,0,10%,LabelPropagation_rbf,iris,numeric
1,accuracy,0.16666666666666666,1,10%,LabelPropagation_rbf,iris,numeric
2,accuracy,0.16666666666666666,2,10%,LabelPropagation_rbf,iris,numeric
3,accuracy,0.16666666666666666,3,10%,LabelPropagation_rbf,iris,numeric
4,accuracy,0.16666666666666666,4,10%,LabelPropagation_rbf,iris,numeric
5,accuracy,0.16666666666666666,5,10%,LabelPropagation_rbf,iris,numeric
6,accuracy,0.16666666666666666,6,10%,LabelPropagation_rbf,iris,numeric
7,accuracy,0.16666666666666666,7,10%,LabelPropagation_rbf,iris,numeric
8,accuracy,0.16666666666666666,8,10%,LabelPropagation_rbf,iris,numeric
9,accuracy,0.16666666666666666,9,10%,LabelPropagation_rbf,iris,numeric
10,time,0.0776224136352539,0,10%,LabelPropagation_rbf,iris,numeric
11,time,0.027780771255493164,1,10%,LabelPropagation_rbf,iris,numeric
12,time,0.02999186515808105,2,10%,LabelPropagation_rbf,iris,numeric
13,time,0.029798269271850582,3,10%,LabelPropagation_rbf,iris,numeric
14,time,0.03264284133911133,4,10%,LabelPropagation_rbf,iris,numeric
15,time,0.031897783279418945,5,10%,LabelPropagation_rbf,iris,numeric
16,time,0.03245258331298828,6,10%,LabelPropagation_rbf,iris,numeric
17,time,0.03157329559326172,7,10%,LabelPropagation_rbf,iris,numeric
18,time,0.03389573097229004,8,10%,LabelPropagation_rbf,iris,numeric
19,time,0.03415632247924805,9,10%,LabelPropagation_rbf,iris,numeric
20,accuracy,0.16666666666666666,0,50%,LabelPropagation_rbf,iris,numeric
21,accuracy,0.16666666666666666,1,50%,LabelPropagation_rbf,iris,numeric
22,accuracy,0.16666666666666666,2,50%,LabelPropagation_rbf,iris,numeric
23,accuracy,0.16666666666666666,3,50%,LabelPropagation_rbf,iris,numeric
24,accuracy,0.16666666666666666,4,50%,LabelPropagation_rbf,iris,numeric
25,accuracy,0.16666666666666666,5,50%,LabelPropagation_rbf,iris,numeric
26,accuracy,0.16666666666666666,6,50%,LabelPropagation_rbf,iris,numeric
27,accuracy,0.16666666666666666,7,50%,LabelPropagation_rbf,iris,numeric
28,accuracy,0.16666666666666666,8,50%,LabelPropagation_rbf,iris,numeric
29,accuracy,0.16666666666666666,9,50%,LabelPropagation_rbf,iris,numeric
30,time,0.029631614685058594,0,50%,LabelPropagation_rbf,iris,numeric
31,time,0.028833389282226562,1,50%,LabelPropagation_rbf,iris,numeric
32,time,0.02948713302612305,2,50%,LabelPropagation_rbf,iris,numeric
